RH,SawyerW,None,ExterQual,diff_col_powered,BrDale,BsmtFullBath,CemntBd,Stucco,Stucco,CollgCr,SFoyer,C (all),Basment,Other,BsmtFinType1,OldTown,2ndFlrSF,KitchenQual,RM,BrkTil,Timber,YearBuilt,1Story,NPkVill,WoodDeckSF,Attchd,SWISU,HdBoard,HdBoard,PConc,Mansard,Flat,AsphShn,LotFrontage,RL,Detchd,ImStucc,ImStucc,CulDSac,CarPort,OpenPorchSF,Gambrel,Wd Shng,YrSold,MasVnrArea,Crawfor,TotalBsmtSF,MSSubClass,Gable,NridgHt,Blueste,IDOTRR,AsbShng,AsbShng,Wd Sdng,Wd Sdng,Shed,2Story,GarageFinish,LotArea,BrkCmn,MeadowV,MoSold,Blmngtn,Somerst,LotShape,NAmes,BsmtQual,Gilbert,NWAmes,FR3,BuiltIn,Plywood,Plywood,BedroomAbvGr,Inside,BrkComm,diff_col,Mitchel,OverallCond,Hip,YearRemodAdd,StoneBr,WdShing,2Types,HeatingQC,NoRidge,Stone,Stone,Stone,Stone,2.5Unf,2.5Fin,1.5Unf,Sawyer,BsmtExposure,Fireplaces,Brk Cmn,Wood,SLvl,BrkFace,BrkFace,BrkFace,FR2,GrLivArea,OverallQual,FullBath,CmentBd,Veenker,BsmtUnfSF,ClearCr,BsmtFinSF1,VinylSd,VinylSd,BrkSide,GarageCars,HalfBath,CBlock,Corner,FV,Edwards,1.5Fin,MetalSd,MetalSd,SalePrice
0.0,0.0,0.0,2,0.06218727773803825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.0,0.0,2,0.0,0.0,0.0,0.9846153846153847,1.0,0.0,0.7522875197629515,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2704402515723271,1.0,0.0,0.0,0.0,0.0,0.0,0.5835801415832835,0.0,0.0,1.0,0.616414525270041,0.0,0.8134326090474806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6524543705425216,0.0,0.0,0.09090909090909091,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3005929954460571,0.0,0.4285714285714285,0.0,0.9666666666666686,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48101600490791446,0.75,0.6666666666666666,0.0,0.0,0.7251712328767123,0.0,0.0,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6672797335358567
0.0,0.0,1.0,3,0.06709813535234294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.3273607748184019,3,0.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3140399164971346,1.0,0.0,0.0,0.0,0.0,0.0,0.7166964234772447,0.0,0.0,0.25,0.0,0.0,0.5912656768299394,0.48300348686233785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.7402346723638158,0.0,0.0,0.5454545454545454,0.0,0.0,1,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.41178783212659315,0.0,0.5714285714285714,0.0,0.7833333333333314,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038962121303891,0.5,0.6666666666666666,0.0,0.0,0.261986301369863,0.0,0.08053097345132743,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5548765685153443
0.0,0.0,0.0,3,0.06250422383127206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.6307692307692321,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3140399164971346,1.0,0.0,0.0,0.0,0.0,0.0,0.5038403824162341,0.0,0.0,0.75,0.6841862102502498,0.0,0.6846811629492517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,0.6847908690448845,0.0,0.0,0.7272727272727273,0.0,0.0,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.3379746420731908,0.0,0.4285714285714285,0.0,0.20000000000000284,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8873600310111052,0.375,0.3333333333333333,0.0,0.0,0.10787671232876711,0.0,0.0752212389380531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716848849018058
0.0,0.0,0.0,0,0.06640308868275224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.735593220338983,2,0.0,0.0,0.0,0.9692307692307693,0.0,0.0,0.7791263723811479,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28301886792452835,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9969694354534032,0.0,0.7596192473334056,0.48300348686233785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.7359889181161785,0.0,0.0,0.8181818181818182,0.0,0.0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.4056613045899814,0.0,0.4285714285714285,1.0,0.93333333333333,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.204958817812758,1.0,1.0,0.0,0.0,0.6035958904109588,0.0,0.0,1.0,1.0,0.0,0.6666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8673846501069757
0.0,0.0,0.0,2,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.8697336561743342,2,0.0,0.0,0.0,0.884615384615385,0.0,0.0,0.8722412335420802,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6100628930817611,1.0,0.0,0.0,0.0,1.0,0.0,0.7188597324068371,0.0,0.0,0.0,1.0,0.0,0.8516848682341518,0.48300348686233785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.5454545454545454,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.4285714285714285,1.0,0.7666666666666657,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8543881018554105,1.0,1.0,0.0,0.0,0.2324486301369863,0.0,0.613716814159292,0.0,0.0,0.0,0.6666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891572107350814
0.0,0.0,0.0,3,0.007717182802853835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2440677966101695,3,1.0,0.0,0.0,0.7000000000000011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9202454686639426,0.0,0.44564087457317725,0.9226049206585785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0801528432006191,0.0,0.0,0.6363636363636364,0.0,0.0,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.012449628149264536,0.0,0.14285714285714285,0.0,0.3500000000000014,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2023509531141707,0.5,0.3333333333333333,0.0,0.0,0.05351027397260274,0.0,0.1584070796460177,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3201437724828686
0.0,0.0,1.0,3,0.060369805223791484,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,2,0.0,0.0,0.0,0.6076923076923091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339622641509434,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.6767901539499355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5432629529246813,0.0,0.0,0.5454545454545454,0.0,0.0,3,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.19945614782295323,0.0,0.5714285714285714,0.0,0.8666666666666671,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27998837809674215,0.375,0.3333333333333333,0.0,0.0,0.2816780821917808,0.0,0.17920353982300885,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.49961863056889566
0.0,0.0,0.0,3,0.06438765745873325,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0.0,0.7461538461538471,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37106918238993714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8808793365090655,1.0,0.7637494523326591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7196117182700235,0.0,0.0,0.1818181818181818,0.0,0.0,3,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.38279330341054296,0.0,0.5714285714285714,0.0,0.45000000000000284,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3933155271808816,0.375,0.6666666666666666,0.0,0.0,0.0,0.0,0.5676991150442477,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258046262699457
0.0,0.0,1.0,3,0.05953578350959862,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0.0,0.0,0.0,0.9615384615384617,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24528301886792456,1.0,0.0,0.0,0.0,0.0,0.0,0.6474037250156996,0.0,0.0,0.25,0.0,0.0,0.684143715508017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.527461948970334,0.0,0.0,0.4545454545454545,0.0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.18753071454313147,0.0,0.4285714285714285,0.0,0.93333333333333,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8930720460714284,0.375,0.3333333333333333,0.0,0.0,0.047089041095890405,0.0,0.4336283185840708,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5136022105686999
0.0,0.0,1.0,2,0.059965276720486946,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2711864406779661,2,0.0,0.0,0.0,0.430769230769231,0.0,0.0,0.8215249929031181,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24528301886792456,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.48896410048954864,0.5517639646215531,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,0.5352017089462957,0.0,0.0,0.2727272727272727,0.0,0.0,3,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.1932968581070013,0.0,0.9999999999999999,0.0,0.9500000000000028,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.767016117420355,0.625,0.3333333333333333,0.0,0.0,0.0,0.0,0.15486725663716813,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091889650673771
